uri,id,birth_place,birth_date,language,recording_dates,subject_refs,interviewers,programs
/repositories/14/resources/8367,HVT-2865,,,eng,1995-05-05|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/24639|/subjects/39082|/subjects/23300|/subjects/24374|/subjects/24343|/subjects/23869|/subjects/26737|/subjects/37105|/subjects/33437|/subjects/32849|/subjects/27209|/subjects/23982|/subjects/33097|/subjects/24980|/subjects/35139|/subjects/33303|/subjects/34716|,/agents/people/40990|,/agents/corporate_entities/6643|
/repositories/14/resources/8347,HVT-3327,,,heb,1991-06-04|,,/agents/people/46417|/agents/people/45968|,/agents/corporate_entities/6680|
/repositories/14/resources/9075,HVT-4118,,,eng,2001-07-30|,/subjects/25264|/subjects/36885|/subjects/25470|/subjects/31833|/subjects/34631|/subjects/37286|/subjects/38776|/subjects/39082|/subjects/37093|/subjects/23300|/subjects/24374|/subjects/40600|/subjects/38014|/subjects/27797|/subjects/34626|/subjects/31012|/subjects/40467|/subjects/24980|/subjects/34716|/subjects/33303|/subjects/30490|/subjects/26539|/subjects/35139|/subjects/40065|/subjects/27363|,/agents/people/40446|,/agents/corporate_entities/12966|
/repositories/14/resources/7729,HVT-1930,,,eng,1992-01-23|,/subjects/36885|/subjects/25470|/subjects/32911|/subjects/37022|/subjects/37511|/subjects/24980|/subjects/35139|,/agents/people/90735|,/agents/corporate_entities/6633|
/repositories/14/resources/8249,HVT-0622,,,eng,1985-11-03|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/36226|/subjects/26804|/subjects/26684|/subjects/23328|/subjects/39082|/subjects/30930|/subjects/37286|/subjects/36693|/subjects/31831|/subjects/33467|/subjects/40600|/subjects/38014|/subjects/34626|/subjects/38724|/subjects/24980|/subjects/30490|/subjects/32086|/subjects/35943|/subjects/35139|/subjects/28759|/subjects/35324|/subjects/24343|,/agents/people/40579|/agents/people/40557|,/agents/corporate_entities/6671|
/repositories/14/resources/8618,HVT-0272,,,eng,1982-10-06|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/39082|/subjects/23300|/subjects/23530|/subjects/39298|/subjects/31104|/subjects/23385|/subjects/23869|/subjects/24980|/subjects/25317|/subjects/39831|/subjects/29173|/subjects/23059|/subjects/30490|/subjects/36018|/subjects/33303|/subjects/35139|,/agents/people/47031|,/agents/corporate_entities/6807|
/repositories/14/resources/8186,HVT-0788,,,eng,1986-11-15|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/39082|/subjects/37286|/subjects/24980|/subjects/23160|/subjects/23160|/subjects/24374|/subjects/26684|/subjects/37829|/subjects/25422|/subjects/40649|/subjects/28291|/subjects/29132|/subjects/22072|/subjects/36693|/subjects/40600|/subjects/26982|/subjects/36642|/subjects/24543|/subjects/32086|/subjects/33303|/subjects/34716|/subjects/28167|/subjects/28759|/subjects/23059|/subjects/30490|,/agents/people/89647|/agents/people/40450|,/agents/corporate_entities/6671|
/repositories/14/resources/10359,HVT-1033,,,eng,1987-05-04|,/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/40356|/subjects/22405|/subjects/33741|/subjects/28291|/subjects/25422|/subjects/35335|/subjects/24343|/subjects/24980|/subjects/24675|,/agents/people/45673|/agents/people/40471|,/agents/corporate_entities/6644|
/repositories/14/resources/6772,HVT-4231,,,fre,1999|1999-06-29|1999-06-30|1999-07-02|1999-07-05|,/subjects/36885|/subjects/35425|/subjects/36084|/subjects/34503|/subjects/40482|/subjects/30848|/subjects/23300|/subjects/37775|/subjects/33351|/subjects/34072|/subjects/41071|/subjects/23093|/subjects/36187|/subjects/22646|/subjects/24980|/subjects/28759|/subjects/36018|/subjects/35943|/subjects/35139|,/agents/people/40539|,/agents/corporate_entities/6614|
/repositories/14/resources/9604,HVT-1463,,,eng,1990-02-14|,/subjects/36885|/subjects/35425|/subjects/31833|/subjects/33741|/subjects/40356|/subjects/24980|/subjects/24675|,/agents/people/42103|/agents/people/76575|,/agents/corporate_entities/6657|
