uri,title
/subjects/39552,"Africa, North"
/subjects/40888,Kosava (Belarus)
/subjects/25571,Slovakia
/subjects/41260,Reghin (Romania)
/subjects/25434,Jerusalem
/subjects/40867,Hanušovce nad Topľou (Slovakia)
/subjects/25064,Bournemouth (England)
/subjects/31477,Puppet theater
/subjects/38206,Sanok (Poland)
/subjects/24225,Nová Bystrica (Slovakia)
/subjects/33919,Curaçao
/subjects/39944,St. John's (N.L.)
/subjects/24675,Liberator
/subjects/22172,Torquay (England)
/subjects/33763,Nizhneye Krivche (Ukraine)
/subjects/22488,"Luta (Lublin, Poland)"
/subjects/22522,Ružomberok (Slovakia)
/subjects/26832,Jews -- Lithuania -- Kovno
/subjects/27720,"Garbów (Lublin, Poland)"
/subjects/28986,Sigmaringen (Germany)
/subjects/36832,Dukla (Poland)
/subjects/32522,Speicher (Switzerland)
/subjects/24419,Driebergen (Netherlands)
/subjects/22934,Sugny (Belgium)
/subjects/37235,"Legionowo (Województwo Mazowieckie, Poland)"
/subjects/35208,Chammes (France)
/subjects/32467,Karolinów (Poland)
/subjects/24049,Australia
/subjects/37665,"World War, 1939-1945 -- Conscript labor -- Czechoslovakia"
/subjects/35658,Cottbus (Germany)
/subjects/33626,Stryĭ (Ukraine)
/subjects/34419,Geldrop (Netherlands)
/subjects/36424,Glindow (Germany)
/subjects/28590,Jews -- Slovakia -- Dunajská Streda
/subjects/22467,Jägala (Estonia)
/subjects/41667,Bochum (Germany)
/subjects/39155,"Aurich (Lower Saxony, Germany)"
/subjects/41237,War crime trials -- Ukraine
/subjects/39505,Bogen (Germany)
/subjects/33108,Straubing (Germany)
/subjects/35176,Vis Island (Croatia)
/subjects/40076,"Dresden (Germany) -- History -- Bombardment, 1945 -- Personal narratives"
/subjects/24767,Spontin (Belgium)
/subjects/27848,Boulogne-Billancourt (France)
/subjects/35526,"Hongkou Qu (Shanghai, China)"
/subjects/40426,Beaulieu-sur-Dordogne (France)
/subjects/31836,Le Val-André (France)
/subjects/38251,Myshevichi (Belarus)
/subjects/31973,Antisemitism -- Germany -- History
/subjects/35199,Salzburg (Austria)
/subjects/35463,Szatmárcseke (Hungary)
/subjects/24788,Vatican City
/subjects/25033,"Broumov (Královéhradecký kraj, Czech Republic)"
/subjects/31420,Rēzekne (Latvia)
/subjects/39440,Poprad (Slovakia)
/subjects/41688,Jews -- Poland -- Dęblin
/subjects/34788,Shanghai (China) -- Ethnic relations
/subjects/25199,Jews -- Poland -- Ujazd (Województwo Świętokrzyskie)
/subjects/41372,Hodenhagen (Germany)
/subjects/32575,Jews -- Germany -- Social conditions
/subjects/30548,Natoye (Belgium)
/subjects/26166,Jews -- Ukraine -- Boryslav
/subjects/23364,"Israel-Arab War, 1948-1949 -- Personal narratives"
/subjects/34858,Havré Belgium)
/subjects/38528,Mlaka (Croatia)
/subjects/22826,Lausanne (Switzerland)
/subjects/23734,Knyszyn (Poland)
/subjects/29339,"Cassino, Battle of, Cassino, Italy, 1944"
/subjects/31359,Krapje (Croatia)
/subjects/39769,La Ciotat (France)
/subjects/26865,"Dubová (Banskobystrický kraj, Slovakia)"
/subjects/39293,Durrës (Albania)
/subjects/32826,Le Havre (France)
/subjects/28528,Frička (Slovakia)
/subjects/36536,Jews -- Poland -- Krosno (Krosno)
/subjects/26920,"Mizh︠h︡irʹi︠a︡ (Zakarpatsḱa oblast,́ Ukraine)"
/subjects/28197,Kosyny (Ukraine)
/subjects/23221,Thebes (Greece)
/subjects/37632,Iza (Ukraine)
/subjects/26023,Bershad ̓(Ukraine)
/subjects/26189,Draft -- Slovakia
/subjects/29786,Prisoner-of-war camps -- Sociological aspects
/subjects/26473,Sex differences
/subjects/40148,Wit and humor
/subjects/38380,Dobre (Poland)
/subjects/23466,Włodawa (Poland)
/subjects/37075,"Brzeg (Województwo Opolskie, Poland)"
/subjects/39591,Bihać (Bosnia and Herzegovina)
/subjects/34659,Bad Friedrichshall (Germany)
/subjects/33036,Nottingham (England)
/subjects/36234,Arbourse (France)
/subjects/22332,Kena (Lithuania)
/subjects/36721,Orléans (France)
/subjects/33523,Mate selection -- Religious aspects -- Judaism
/subjects/22762,Morgenstern (Germany)
/subjects/37999,Chesières (Switzerland)
/subjects/22298,Tirana (Albania)
/subjects/27560,Jews -- Ukraine -- Tulʹchyn
/subjects/23523,Villers-Bretonneux (France)
/subjects/32332,Prisoners of War -- France
/subjects/26721,Radolfzell am Bodensee (Germany)
/subjects/37560,Novosad (Slovakia)
/subjects/23489,Kazlu Ruda (Lithuania)
/subjects/26371,Jastkowice (Poland)
/subjects/39657,Koněšín (Czech Republic)
/subjects/38945,Kletsk (Belarus)
/subjects/36408,Gross-Rosen (Germany : Concentration camp)
/subjects/40774,Żuromin (Poland)
/subjects/24065,Reims (France)
/subjects/22918,Csengerújfalu (Hungary)
/subjects/38103,Berdykovtse (Ukraine)
/subjects/24120,Radzymin (Poland)
/subjects/28800,Beauvechain (Belgium)
/subjects/29712,Bunkers
/subjects/24570,Leeuwarden (Netherlands)
/subjects/39712,Raasiku (Estonia)
/subjects/24823,Jews -- Poland -- Będzin
/subjects/31322,Jarok (Slovakia)
/subjects/29895,Jews -- Poland -- Bełchatów
/subjects/22220,Ostrach (Germany)
/subjects/23061,Pawłowice (Poland)
/subjects/37188,Lebedzeva (Belarus)
/subjects/23431,Fuentes de Oñoro (Spain)
/subjects/37022,Frankfurt am Main (Germany)
/subjects/26326,"XV. Kerület (Budapest, Hungary)"
/subjects/33124,Szentgotthárd (Hungary)
/subjects/31119,Ziębice (Poland)
/subjects/27537,Amiens (France)
/subjects/23827,Jewish ghettos -- Humor -- Psychological aspects
/subjects/40959,Wawer (Poland)
/subjects/35859,"Uniejów (Łódź, Poland)"
/subjects/28768,Lamia (Greece)
/subjects/38441,"Żelechów (Garwolin, Poland)"
/subjects/30071,Weimar (Germany : Stadtkreis)
/subjects/35789,Havelberg (Germany)
/subjects/40373,Durbuy (Belgium)
/subjects/38011,Sladkow Maly (Poland)
/subjects/24032,Mongolia
/subjects/25273,"Denmark -- History -- German occupation, 1940-1945"
/subjects/39250,Dobrusa (Romania)
/subjects/31660,Steinbach bei Michelstadt im Odenwald (Germany)
/subjects/28441,"Nuremberg Trial of Major German War Criminals, Nuremburg, Germany, 1945-1946"
/subjects/34462,Identity (Philosophical concept)
/subjects/39600,"Holocaust, Jewish (1939-1945) -- Songs and music"
/subjects/24931,Sopot (Poland)
/subjects/25623,Czarny Potok (Poland)
/subjects/38912,Zionist organizations
/subjects/41132,Italian occupation
/subjects/41427,Tongeren (Belgium)
/subjects/22109,Rome (Italy)
/subjects/25336,Seredne (Ukraine)
/subjects/33718,Sittard (Netherlands)
/subjects/30837,Jews -- Romania -- Satu Mare (Harghita)
/subjects/24874,Kotor (Montenegro)
/subjects/26849,Women prisoners
/subjects/32109,Lugano (Switzerland)
/subjects/28857,Saint-Germain-en-Laye (France)
/subjects/36849,Canischio (Italy)
/subjects/23348,Jews -- Belarus -- Navahrudak
/subjects/38154,"Friedrichshain (Berlin, Germany)"
/subjects/27937,Alytus (Lithuania)
/subjects/24248,Friedrichshafen (Germany)
/subjects/26275,Motion picture producers and directors
/subjects/39883,Forth (Germany)
